order_id,order_item_id,order_status,order_purchase_timestamp,order_purchase_year,order_purchase_month,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,shipping_limit_date,customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,seller_id,seller_zip_code_prefix,seller_city,seller_state,product_id,product_category_name,product_category_name_english,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,price,freight_value,item_total_value,payment_type_main,payment_types_used,payment_installments_total,payment_value_total,payment_count,delivery_days,estimated_delivery_days,delivery_delay_days,is_late_delivery,is_same_state_sale
2e7a8482f6fb09756ca50c10d7bfc047,1,shipped,2016-09-04 21:15:19,2016,9,2016-10-07 13:18:03,2016-10-18 13:14:51,,2016-10-20,2016-10-26 18:25:19,08c5351a6aca1c1589a38f244edeee9d,b7d76e111c89f7ebf14761390f0f7d17,69309,boa vista,RR,1554a68530182680ad5c8b042c3ab563,37580,monte siao,MG,c1488892604e4ba5cff5b4eb4d595400,moveis_decoracao,furniture_decor,59.0,426.0,2.0,1400.0,32.0,6.0,28.0,39.99,31.67,71.66,credit_card,credit_card,1.0,136.23,1.0,,45,,False,False
2e7a8482f6fb09756ca50c10d7bfc047,2,shipped,2016-09-04 21:15:19,2016,9,2016-10-07 13:18:03,2016-10-18 13:14:51,,2016-10-20,2016-10-26 18:25:19,08c5351a6aca1c1589a38f244edeee9d,b7d76e111c89f7ebf14761390f0f7d17,69309,boa vista,RR,1554a68530182680ad5c8b042c3ab563,37580,monte siao,MG,f293394c72c9b5fafd7023301fc21fc2,moveis_decoracao,furniture_decor,41.0,754.0,3.0,1800.0,32.0,6.0,28.0,32.9,31.67,64.57,credit_card,credit_card,1.0,136.23,1.0,,45,,False,False
bfbd0f9bdef84302105ad712db648a6c,1,delivered,2016-09-15 12:16:38,2016,9,2016-09-15 12:16:38,2016-11-07 17:11:53,2016-11-09 07:47:38,2016-10-04,2016-09-19 23:11:33,86dc2ffce2dfff336de2f386a786e574,830d5b7aaa3b6f1e9ad63703bec97d23,14600,sao joaquim da barra,SP,ecccfa2bb93b34a3bf033cc5d1dcdc69,81810,curitiba,PR,5a6b04657a4c5ee34285d1e4619a96b4,beleza_saude,health_beauty,34.0,1036.0,1.0,1000.0,16.0,16.0,16.0,44.99,2.83,47.82,,,,,,54.0,18,36.0,True,False
71303d7e93b399f5bcd537d124c0bcfa,1,canceled,2016-10-02 22:07:52,2016,10,2016-10-06 15:50:56,,,2016-10-25,2016-10-21 16:19:54,b106b360fe2ef8849fbbd056f777b4d5,0eb1ee9dba87f5b36b4613a65074337c,2975,sao paulo,SP,25e6ffe976bd75618accfe16cefcbd0d,5503,sao paulo,SP,d2998d7ced12f83f9b832f33cf6507b6,bebes,baby,32.0,561.0,1.0,500.0,18.0,18.0,18.0,100.0,9.34,109.34,credit_card,credit_card,1.0,109.34,1.0,,22,,False,True
a41c8759fbe7aab36ea07e038b2d4465,1,delivered,2016-10-03 21:13:36,2016,10,2016-10-05 03:11:49,2016-10-25 11:57:59,2016-11-03 10:58:07,2016-11-29,2016-10-21 16:18:26,6f989332712d3222b6571b1cf5b835ce,61db744d2f835035a5625b59350c6b63,90040,porto alegre,RS,45d33f715e24d15a6ccf5c17b3a23e3c,18015,sorocaba,SP,b72b39418216e944bb34e35f4d3ea8c7,esporte_lazer,sports_leisure,39.0,141.0,1.0,767.0,26.0,8.0,20.0,36.49,17.24,53.730000000000004,boleto,boleto,1.0,53.73,1.0,30.0,56,-26.0,False,False
ae8a60e4b03c5a4ba9ca0672c164b181,1,delivered,2016-10-03 22:44:10,2016,10,2016-10-04 10:28:25,2016-10-30 14:22:04,2016-11-03 14:04:50,2016-12-01,2016-10-21 16:27:42,e6f959bf384d1d53b6d68826699bba12,7390ed59fa1febbfda31a80b4318c8cb,76700,mozarlandia,GO,817f85dbb65aa3e70831d90fe75cdf89,18530,tiete,SP,a5c3ddb1a400f50d1cf7138727aec136,brinquedos,toys,49.0,485.0,1.0,7811.0,45.0,28.0,46.0,128.9,25.67,154.57,credit_card,credit_card,2.0,154.57,1.0,30.0,58,-28.0,False,False
0a0837a5eee9e7a9ce2b1fa831944d27,1,delivered,2016-10-04 09:06:10,2016,10,2016-10-06 11:43:20,2016-10-15 10:33:08,2016-10-22 14:51:18,2016-11-24,2016-10-10 11:43:22,4f3f778022aefa22b9f9e52d2c47edf3,cd5a5843d35eebdf90368bf24d4a04cf,9390,maua,SP,3481aa57cd91f9f9d3fa1fa12d9a3bf7,13360,capivari,SP,583916a5dae918f5e89baec139141c54,,,,,,3100.0,28.0,28.0,50.0,49.99,15.51,65.5,debit_card,debit_card,1.0,65.5,1.0,18.0,50,-33.0,False,True
5b1376fe61863fe3508011db309e35fe,1,delivered,2016-10-04 13:16:57,2016,10,2016-10-05 03:11:34,2016-10-14 23:20:15,2016-10-17 20:24:25,2016-12-08,2016-10-09 03:11:34,b9c504b633cd3d85d4128856a67209c2,31463a6b3a01f53c3ef1a04a849decf4,56580,ibimirim,PE,440dd6ab244315c632130ecfb63827b1,15502,votuporanga,SP,2235d08138bfce7801a73463a3168ea5,esporte_lazer,sports_leisure,63.0,923.0,3.0,1200.0,70.0,8.0,15.0,149.9,27.38,177.28,boleto,boleto,1.0,177.28,1.0,13.0,64,-52.0,False,False
35d3a51724a47ef1d0b89911e39cc4ff,1,delivered,2016-10-04 14:23:50,2016,10,2016-10-05 02:44:29,2016-10-14 02:44:30,2016-10-26 15:03:52,2016-12-20,2016-10-14 02:44:30,27ab53f26192510ff85872aeb3759dcc,f922896769e9517ea3c630f3c8de86d0,96832,santa cruz do sul,RS,1554a68530182680ad5c8b042c3ab563,37580,monte siao,MG,c1488892604e4ba5cff5b4eb4d595400,moveis_decoracao,furniture_decor,59.0,426.0,2.0,1400.0,32.0,6.0,28.0,39.99,22.34,62.33,boleto,boleto,1.0,62.33,1.0,22.0,76,-55.0,False,False
bfd31c6f76ff82a41e7beb05565aec4d,1,canceled,2016-10-04 14:51:15,2016,10,2016-10-06 15:56:40,,,2016-12-14,2016-10-17 16:56:40,6c65055adfbc0007dbb4c5a22ea5ba8c,c31f4549e788bd1e0afbd0cc8d64c671,97502,uruguaiana,RS,b7ba853e9551f4558440881fd3e5c815,95500,santo antonio da patrulha,RS,b4b1c13bd539cdda68bd9a5e899767fb,telefonia,telephony,63.0,1548.0,3.0,400.0,18.0,16.0,16.0,239.9,12.29,252.19,credit_card,credit_card,6.0,252.19,1.0,,70,,False,True
